diseaseId	diseaseName	diseaseType	diseaseClass	diseaseSemanticType
C3150659	BREAST-OVARIAN CANCER, FAMILIAL, SUSCEPTIBILITY TO, 3	disease		Finding
C3280345	BREAST-OVARIAN CANCER, FAMILIAL, SUSCEPTIBILITY TO, 4	disease		Finding
C1969056	LEOPARD SYNDROME 2	disease	C16;C17;C05;C14	Disease or Syndrome
C1969057	Noonan Syndrome 5	disease	C16;C17;C05;C14	Disease or Syndrome
C4014656	CARDIOMYOPATHY, DILATED, 1NN	disease		Disease or Syndrome
C1832322	Severe Combined Immunodeficiency, Autosomal Recessive, T Cell-Negative, B Cell-Negative, NK Cell-Positive	disease	C16;C18;C20	Disease or Syndrome
C1835931	ALPHA/BETA T-CELL LYMPHOPENIA WITH GAMMA/DELTA T-CELL EXPANSION, SEVERE CYTOMEGALOVIRUS INFECTION, AND AUTOIMMUNITY	disease	C01;C20;C15	Disease or Syndrome
C1867362	SEVERE COMBINED IMMUNODEFICIENCY, B CELL-NEGATIVE	disease		Finding
C2673536	Combined Cellular And Humoral Immune Defects With Granulomas	disease	C16;C18;C20;C15	Disease or Syndrome
C2931884	Reticuloendotheliosis, familial, with eosinophilia	disease	C16;C18;C20;C15	Disease or Syndrome
C2675556	ENCEPHALOPATHY, ACUTE, INFECTION-INDUCED, SUSCEPTIBILITY TO, 3	phenotype		Finding
C0796004	Kabuki make-up syndrome	disease	C16;C09;C15	Congenital Abnormality
C4225367	MYASTHENIC SYNDROME, CONGENITAL, 11, ASSOCIATED WITH ACETYLCHOLINE RECEPTOR DEFICIENCY	disease		Disease or Syndrome
C0206650	Fibroadenoma	disease	C04	Neoplastic Process
C1832661	ANOPHTHALMIA AND PULMONARY HYPOPLASIA	disease	C16;C11;C08	Disease or Syndrome
C3809803	MICROPHTHALMIA, SYNDROMIC 12	disease		Disease or Syndrome
C2677328	Cerebral hypomyelination	phenotype		Finding
C4015323	LEUKODYSTROPHY, HYPOMYELINATING, 9	disease		Disease or Syndrome
C0003857	Congenital arteriovenous malformation	disease	C16;C14	Congenital Abnormality
C1842180	CAPILLARY MALFORMATION-ARTERIOVENOUS MALFORMATION (disorder)	disease	C16;C17;C14	Disease or Syndrome
C2675370	Capillary Malformation Without Arteriovenous Malformation	disease	C16;C17;C14	Disease or Syndrome
C4747394	CAPILLARY MALFORMATION-ARTERIOVENOUS MALFORMATION 1	disease		Disease or Syndrome
C0751484	Sporadic Retinoblastoma	disease	C04;C11	Neoplastic Process
C2608045	Trilateral Retinoblastoma	disease	C04;C11	Neoplastic Process
C3151302	Chromosome 13q14 deletion syndrome	disease		Disease or Syndrome
C0796063	microcephaly-digital anomalies syndrome	disease	C23;C16;C05;C10;F03;F01	Disease or Syndrome
C3715216	RETINITIS PIGMENTOSA 66	disease		Disease or Syndrome
C0152455	Keratomalacia	disease	C18	Disease or Syndrome
C0271271	Xerotic keratitis	disease	C18	Disease or Syndrome
C0856901	Retinol Deficiency	disease	C18	Disease or Syndrome
C2931501	Microphthalmia associated with colobomatous cyst	phenotype	C23;C16;C04;C11	Disease or Syndrome
C3554593	RETINAL DYSTROPHY, IRIS COLOBOMA, AND COMEDOGENIC ACNE SYNDROME	disease		Disease or Syndrome
C4225330	MICROPHTHALMIA, ISOLATED, WITH COLOBOMA 10	disease		Disease or Syndrome
C3887980	Protanomaly	disease	C23;C11;C10	Disease or Syndrome
C0311338	Fundus Albipunctatus	disease	C11	Congenital Abnormality
C1405854	Retinitis punctata albescens (disorder)	disease	C11	Disease or Syndrome
C1842475	Retinitis Pigmentosa 7	disease	C16;C11	Disease or Syndrome
C2751290	CHOROIDAL DYSTROPHY, CENTRAL AREOLAR 2	disease	C11	Disease or Syndrome
C4509881	Multifocal pattern dystrophy of retinal pigment epithelium simulating fundus flavimaculatus	disease		Disease or Syndrome
C4551999	MACULAR DYSTROPHY, PATTERNED, 1	disease	C11	Disease or Syndrome
C1970239	DEAFNESS, AUTOSOMAL RECESSIVE, 24	disease	C23;C10;C09	Disease or Syndrome
C4289581	RELA fusion-positive ependymoma	disease	C04	Neoplastic Process
C4539811	IMMUNODEFICIENCY 53	disease		Disease or Syndrome
C0221043	Liddle Syndrome	disease	C16;C13;C12	Disease or Syndrome
C2751310	Hyperuricemic Nephropathy, Familial Juvenile 2	disease	C23;C13;C12;C15	Disease or Syndrome
C0265338	Coffin-Siris syndrome	disease	C23;C16;C05;C10;F03;C07;F01	Disease or Syndrome
C4747954	COFFIN-SIRIS SYNDROME 7	disease		Disease or Syndrome
C0399440	Hereditary gingival fibromatosis	disease	C16;C07	Disease or Syndrome
C3887929	DEAFNESS, AUTOSOMAL DOMINANT 27	disease		Disease or Syndrome
C3891301	WILMS TUMOR, SUSCEPTIBILITY TO	phenotype	C04	Finding
C0025268	Multiple Endocrine Neoplasia Type 2a	disease	C16;C04;C19	Neoplastic Process
C0025269	Multiple Endocrine Neoplasia Type 2b	disease	C16;C04;C19	Neoplastic Process
C0238462	Medullary carcinoma of thyroid	disease	C04;C19	Neoplastic Process
C1609433	Congenital absence of kidneys syndrome	disease	C16;C13;C12	Disease or Syndrome
C1619700	RENAL ADYSPLASIA	disease	C16;C13;C12	Congenital Abnormality
C0221060	Mobius Syndrome	disease	C16;C10;C07	Disease or Syndrome
C0853240	Mobius II syndrome	disease	C16;C10;C07	Congenital Abnormality
C0007758	Cerebellar Ataxia	phenotype	C23;C10	Disease or Syndrome
C0234162	Cerebellar Dysmetria	phenotype	C23;C10	Finding
C0234357	Adiadochokinesis	phenotype	C23;C10	Sign or Symptom
C0750994	Cerebellar Hemiataxia	phenotype	C23;C10	Sign or Symptom
C3668822	Hypermetria (finding)	phenotype	C23;C10	Finding
C4255193	Bilateral Vestibulopathy	disease	C23;C10;C09	Disease or Syndrome
C4285893	Cerebellar ataxia with neuropathy and bilateral vestibular areflexia syndrome	disease		Disease or Syndrome
C1859536	Bare Lymphocyte Syndrome, Type II, Complementation Group C	disease	C16;C18;C20	Disease or Syndrome
C1859538	Bare Lymphocyte Syndrome, Type II, Complementation Group E	disease	C16;C18;C20	Disease or Syndrome
C1859537	Bare Lymphocyte Syndrome, Type II, Complementation Group D	disease	C16;C18;C20	Disease or Syndrome
C3151068	RETINITIS PIGMENTOSA 44	disease		Disease or Syndrome
C0272048	stomatocytic anemia	disease	C15	Disease or Syndrome
C0272052	Rh Deficiency Syndrome	disease	C16	Disease or Syndrome
C0677598	Stomatocytosis Result	phenotype		Laboratory or Test Result
C1849387	Rh-Null, Regulator Type	disease	C15	Disease or Syndrome
C1861455	STOMATOCYTOSIS I	disease	C16;C18;C15	Disease or Syndrome
C0002881	Anemia, Hemolytic, Congenital	disease	C16;C15	Disease or Syndrome
C1864869	Night Blindness, Congenital Stationary, Autosomal Dominant 1	disease	C16;C11	Disease or Syndrome
C3151001	Retinitis Pigmentosa 4	disease	C16;C11	Disease or Syndrome
C1306122	Oguchi disease	disease	C16;C11	Disease or Syndrome
C3150678	OGUCHI DISEASE 2	disease		Disease or Syndrome
C4551824	Oguchi Disease 1	disease	C16;C11	Disease or Syndrome
C3809233	NOONAN SYNDROME 8	disease		Disease or Syndrome
C1843815	Newfoundland Rod-Cone Dystrophy	disease	C16;C11	Disease or Syndrome
C1843816	Bothnia Retinal Dystrophy	disease	C16;C11	Disease or Syndrome
C0220748	Cartilage-hair hypoplasia	disease	C16;C06;C05;C20	Disease or Syndrome; Congenital Abnormality
C1834821	METAPHYSEAL DYSPLASIA WITHOUT HYPOTRICHOSIS	disease	C16;C05	Disease or Syndrome
C1846796	Anauxetic dysplasia	disease	C16;C05;C19	Disease or Syndrome
C4551965	ANAUXETIC DYSPLASIA 1	disease	C16;C05;C19	Disease or Syndrome
C0085423	Gram-Negative Bacterial Infections	group	C01	Disease or Syndrome
C0085426	Gram-Positive Bacterial Infections	group	C01	Disease or Syndrome
C4053775	Pituitary stalk interruption syndrome	disease	C23	Disease or Syndrome
C0042580	Vesico-Ureteral Reflux	disease	C13;C12	Disease or Syndrome
C1970483	Vesicoureteral Reflux 2	disease	C13;C12	Disease or Syndrome
C4706552	Familial vesicoureteral reflux	disease		Congenital Abnormality
C4748041	INTELLECTUAL DEVELOPMENTAL DISORDER WITH OR WITHOUT EPILEPSY OR CEREBELLAR ATAXIA	disease		Disease or Syndrome
C4225266	IMMUNODEFICIENCY 42	disease		Disease or Syndrome
C1867300	RETINITIS PIGMENTOSA 9	disease	C16;C11	Disease or Syndrome
C0220701	RETINITIS PIGMENTOSA 1	disease	C16;C11	Disease or Syndrome
C4551714	Rod-Cone Dystrophy	disease	C16;C11	Disease or Syndrome
C2681923	RETINITIS PIGMENTOSA 2 (disorder)	disease	C16;C11	Disease or Syndrome
C0339528	X-linked retinitis pigmentosa	disease	C16;C11	Congenital Abnormality
C1844776	CONE-ROD DYSTROPHY, X-LINKED, 1	disease	C16;C11	Disease or Syndrome
C1845667	RETINITIS PIGMENTOSA 3	disease	C16;C11	Disease or Syndrome
C2749137	Retinitis Pigmentosa, X-Linked, And Sinorespiratory Infections, With Or Without Deafness	disease	C23;C16;C01;C11;C08;C10;C09	Disease or Syndrome
C3151784	MACULAR DEGENERATION, X-LINKED ATROPHIC	disease		Disease or Syndrome
C1837873	LEBER CONGENITAL AMAUROSIS 9 (disorder)	disease	C11	Disease or Syndrome
C1859844	LEBER CONGENITAL AMAUROSIS, TYPE II (disorder)	disease	C11	Disease or Syndrome
C3151086	Retinitis Pigmentosa 20	disease	C16;C11	Disease or Syndrome
C4072872	obsolete Rod-cone dystrophy	disease		Disease or Syndrome
C0575897	Thumb deformity	phenotype	C05	Finding
C3275438	AUTISM, SUSCEPTIBILITY TO, X-LINKED 5	disease		Finding
C4478383	MENTAL RETARDATION, X-LINKED, SYNDROMIC, 35	disease		Disease or Syndrome
C0431890	Hypoplasia of thumb	disease	C05	Congenital Abnormality
C2675512	Diamond-Blackfan Anemia 7	disease	C16;C15	Disease or Syndrome
C0241397	Triphalangeal thumb	disease	C16;C05	Congenital Abnormality
C3809888	DIAMOND-BLACKFAN ANEMIA 12	disease		Disease or Syndrome
C0020678	Hypotrichosis	disease	C17	Disease or Syndrome
C4014563	HYPOTRICHOSIS 12	disease		Disease or Syndrome
C3554042	DIAMOND-BLACKFAN ANEMIA 11	disease		Disease or Syndrome
C4229582	Absent thumb, bilateral	phenotype		Finding
C4229584	Hypoplasia or aplasia of radius, unilateral	phenotype		Finding
C4479424	DIAMOND-BLACKFAN ANEMIA 16	disease		Disease or Syndrome
C2675859	Diamond-Blackfan Anemia 5	disease	C16;C15	Disease or Syndrome
C0265252	Coffin-Lowry syndrome	disease	C16;C10	Disease or Syndrome
C0796225	Mental Retardation, X-Linked 19	disease	C16;C10	Disease or Syndrome
C2675511	Diamond-Blackfan Anemia 8	disease	C16;C15	Disease or Syndrome
C2750081	Diamond-Blackfan Anemia 9	disease	C16;C15	Disease or Syndrome
C0740302	5q-syndrome	disease	C23;C15	Disease or Syndrome
C1292779	Myelodysplastic Syndrome with Isolated del(5q)	disease	C15	Neoplastic Process
C2675860	Diamond-Blackfan Anemia 4	disease	C16;C15	Disease or Syndrome
C0241391	Thumb absent	phenotype		Finding
C2751481	Mild radial hypoplasia	phenotype		Finding
C3278811	Thumb aplasia	disease	C05	Congenital Abnormality
C4479431	BRACHYCEPHALY, TRICHOMEGALY, AND DEVELOPMENTAL DELAY	disease		Disease or Syndrome
C0265265	Aase syndrome	disease	C16;C15	Disease or Syndrome
C1857719	Anemia, Diamond-Blackfan, 3	disease	C16;C15	Disease or Syndrome
C2750080	Diamond-Blackfan Anemia 10	disease	C16;C15	Disease or Syndrome
C4479428	DIAMOND-BLACKFAN ANEMIA 17	disease		Disease or Syndrome
C4225411	DIAMOND-BLACKFAN ANEMIA 15 WITH MANDIBULOFACIAL DYSOSTOSIS	disease		Disease or Syndrome
C4014641	DIAMOND-BLACKFAN ANEMIA 13	disease		Disease or Syndrome
C0152439	Retinoschisis	disease	C11	Disease or Syndrome
C0271091	Retinoschisis, Juvenile, X-Linked	disease	C11	Disease or Syndrome
C1137478	Retinoschisis, Degenerative	disease	C11	Disease or Syndrome
C3714753	RETINOSCHISIS 1, X-LINKED, JUVENILE	disease		Disease or Syndrome
C1858106	SPASTIC PARAPLEGIA 12, AUTOSOMAL DOMINANT (disorder)	disease	C16;C10	Disease or Syndrome
C0751951	Central Core Myopathy (disorder)	disease	C05;C10	Disease or Syndrome
C1840365	King Denborough syndrome	disease	C23	Disease or Syndrome
C1850674	MINICORE MYOPATHY WITH EXTERNAL OPHTHALMOPLEGIA (disorder)	disease	C23;C11;C05;C10	Disease or Syndrome
C1861753	Multiminicore Disease, Moderate, with Hand Involvement	disease	C05;C10	Disease or Syndrome
C2674259	NEUROMUSCULAR DISEASE, CONGENITAL, WITH UNIFORM TYPE 1 FIBER (disorder)	disease	C05;C10	Disease or Syndrome
C2930980	Malignant hyperthermia susceptibility type 1	disease	C23	Finding
C4706390	Congenital myopathy with myasthenic-like onset	disease		Disease or Syndrome
C4749502	Benign Samaritan congenital myopathy	disease		Disease or Syndrome
C4053736	Catecholaminergic Polymorphic Ventricular Tachycardia Type 1	disease		Disease or Syndrome
C0349217	Depressive episode, unspecified	disease	F03;F01	Mental or Behavioral Dysfunction
C0018944	Hematoma	phenotype	C23	Pathologic Function
C0221014	Reactive systemic amyloidosis	disease	C18;C17	Disease or Syndrome
C3151061	RETINITIS PIGMENTOSA 47	disease		Disease or Syndrome
C4011974	COLOBOMA, OCULAR, AUTOSOMAL RECESSIVE	disease		Disease or Syndrome
C0265246	Townes syndrome	disease	C23;C16;C06;C10;C09	Disease or Syndrome
C4551481	TOWNES-BROCKS SYNDROME 1	disease	C23;C16;C06;C10;C09	Disease or Syndrome
C4540188	NEURODEVELOPMENTAL DISORDER WITH MICROCEPHALY, ATAXIA, AND SEIZURES	disease		Disease or Syndrome
C3695063	Charcot-Marie-Tooth disease type 4B3	disease		Disease or Syndrome
C4225189	MICROCEPHALY, CONGENITAL CATARACT, AND PSORIASIFORM DERMATITIS	disease		Disease or Syndrome
C1846421	Lathosterolosis	disease	C16;C18	Disease or Syndrome
C0018975	Hemeralopia	disease	C23;C11;C10	Disease or Syndrome
C0042790	Vision Disorders	group	C23;C11;C10	Finding
C0231691	Cerebellar Gait Ataxia	phenotype	C23;C10	Finding
C0233769	Micropsia	phenotype	C23;C11;C10	Sign or Symptom
C0233771	Macropsia	phenotype	C23;C11;C10	Finding
C0271185	Metamorphopsia	phenotype	C23;C11;C10	Sign or Symptom
C0751836	Gait Ataxia, Sensory	phenotype	C23;C10	Finding
C0751837	Gait Ataxia	phenotype	C23;C10	Sign or Symptom
C3489704	Vision Disability	disease	C23;C11;C10	Disease or Syndrome
C1837454	SPINOCEREBELLAR ATAXIA 8	disease	C16;C10	Disease or Syndrome
C1858673	GENERALIZED EPILEPSY WITH FEBRILE SEIZURES PLUS, TYPE 2	disease	C23;C10	Disease or Syndrome
C1864987	Migraine, Familial Hemiplegic, 3	disease	C10	Disease or Syndrome
C4551549	Early Infantile Epileptic Encephalopathy 6	disease	C10	Disease or Syndrome
C1721096	Brugada ECG Pattern	phenotype	C16;C14	Finding
C1858672	GENERALIZED EPILEPSY WITH FEBRILE SEIZURES PLUS, TYPE 1	disease	C23;C10	Disease or Syndrome
C2748541	Brugada Syndrome 5	disease	C16;C14	Disease or Syndrome
C3809311	ATRIAL FIBRILLATION, FAMILIAL, 13	disease		Disease or Syndrome
C4479236	EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 52	disease		Disease or Syndrome
C1842382	Epilepsy, Benign Neonatal, 3	disease	C16;C10	Disease or Syndrome
C3150987	EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 11	disease		Disease or Syndrome
C3809312	ATRIAL FIBRILLATION, FAMILIAL, 14	disease		Disease or Syndrome
C0085417	Epilepsy, Complex Partial	disease	C10	Disease or Syndrome
C0751640	Cryptogenic Partial Complex Epilepsy	disease	C10	Disease or Syndrome
C0751641	Epilepsy, Symptomatic, Partial Complex	disease	C10	Disease or Syndrome
C4693694	EPILEPSY, FAMILIAL FOCAL, WITH VARIABLE FOCI 4	disease		Disease or Syndrome
C4693699	EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 62	disease		Disease or Syndrome
C0221055	Paramyotonia Congenita (disorder)	disease	C05;C10	Disease or Syndrome
C0553604	Myotonic Disorders	group	C05;C10	Disease or Syndrome
C0752355	Myotonia Fluctuans (disorder)	disease	C05;C10	Disease or Syndrome
C1868619	Paramyotonia Congenita Without Cold Paralysis	disease	C05;C10	Disease or Syndrome
C2750473	THYROTOXIC PERIODIC PARALYSIS, SUSCEPTIBILITY TO, 2	disease		Finding
C2931826	Potassium aggravated myotonia	disease	C16;C05;C10	Disease or Syndrome
C3280112	MYASTHENIC SYNDROME, CONGENITAL, 16	disease		Disease or Syndrome
C3489447	Hyperkalemic Periodic Paralysis Type 2	disease	C16;C18;C05;C10	Disease or Syndrome
C1141890	Congenital long QT syndrome	disease	C23;C16;C14	Disease or Syndrome
C2678484	Long Qt Syndrome 10	disease	C23;C16;C14	Disease or Syndrome
C0006384	Bundle-Branch Block	disease	C23;C14	Disease or Syndrome
C1832680	CARDIOMYOPATHY, DILATED, 1E	disease	C14	Disease or Syndrome
C1837845	SICK SINUS SYNDROME 1, AUTOSOMAL RECESSIVE	disease	C23;C14	Disease or Syndrome
C1859062	LONG QT SYNDROME 3	disease	C23;C16;C14	Disease or Syndrome
C2931401	Long QT syndrome type 3	disease	C23;C16;C14	Disease or Syndrome
C3151464	ATRIAL FIBRILLATION, FAMILIAL, 10	disease		Disease or Syndrome
C1865926	Infantile convulsions and paroxysmal choreoathetosis, familial (disorder)	disease	C23;C16;C10	Disease or Syndrome
C3280415	COGNITIVE IMPAIRMENT WITH OR WITHOUT CEREBELLAR ATAXIA	disease		Disease or Syndrome
C3281191	SCN8A-related epilepsy with encephalopathy	disease	C23;C10;F03;F01	Disease or Syndrome
C4310728	SEIZURES, BENIGN FAMILIAL INFANTILE, 5	disease		Disease or Syndrome
C0014804	Erythromelalgia	disease	C14	Disease or Syndrome
C0014805	Primary Erythermalgia	disease	C14	Disease or Syndrome
C0150055	Chronic pain	phenotype	C23	Sign or Symptom
C0432262	Dysosteosclerosis	disease	C05	Disease or Syndrome
C1833661	PAROXYSMAL EXTREME PAIN DISORDER	disease	C23	Disease or Syndrome
C1855739	Indifference to Pain, Congenital, Autosomal Recessive	disease	C23;C16;C10	Disease or Syndrome
C2751778	Generalized Epilepsy With Febrile Seizures Plus, 7	disease	C23;C10	Disease or Syndrome
C3178789	Widespread Chronic Pain	disease	C23	Disease or Syndrome
C3276706	Small Fiber Neuropathy	disease	C10	Disease or Syndrome
C3809893	EPISODIC PAIN SYNDROME, FAMILIAL, 2	disease		Disease or Syndrome
C2751666	BRONCHIECTASIS WITH OR WITHOUT ELEVATED SWEAT CHLORIDE 2	disease	C08	Disease or Syndrome
C4748292	LIDDLE SYNDROME 3	disease		Disease or Syndrome
C2751324	BRONCHIECTASIS WITH OR WITHOUT ELEVATED SWEAT CHLORIDE 3	disease	C08	Disease or Syndrome
C3150990	LEUKOENCEPHALOPATHY WITH DYSTONIA AND MOTOR NEUROPATHY	disease		Disease or Syndrome
C0041327	Tuberculosis, Pulmonary	disease	C01;C08	Disease or Syndrome
C0266929	Chronic Periodontitis	disease	C07	Disease or Syndrome
C1855008	Mitochondrial Complex II Deficiency	disease	C16;C18	Disease or Syndrome
C3150898	CARDIOMYOPATHY, DILATED, 1GG	disease		Disease or Syndrome
C3279992	PARAGANGLIOMAS 5	disease		Disease or Syndrome
C0342777	Succinate-coenzyme Q reductase deficiency	disease		Disease or Syndrome
C1333993	hereditary paraganglioma	disease	C16;C04	Neoplastic Process
C1847319	PARAGANGLIOMA AND GASTRIC STROMAL SARCOMA	disease	C06;C04	Disease or Syndrome
C1861848	PARAGANGLIOMAS 4	disease	C16;C04	Neoplastic Process
C0260037	Multiple tumors	phenotype	C04	Neoplastic Process
C1854336	PARAGANGLIOMAS 3	disease	C16;C04	Disease or Syndrome
C0024586	Malignant Carcinoid Syndrome	disease	C04	Disease or Syndrome
C0349535	Carcinoid tumor of intestine	disease	C06;C04	Neoplastic Process
C4748195	MENTAL RETARDATION, AUTOSOMAL DOMINANT 58	disease		Disease or Syndrome
C0265294	Pyle metaphyseal dysplasia	disease	C16;C05	Disease or Syndrome
C1968602	Surfactant Metabolism Dysfunction, Pulmonary, 1	disease	C08	Disease or Syndrome
C1970470	SURFACTANT METABOLISM DYSFUNCTION, PULMONARY, 2 (disorder)	disease	C08	Disease or Syndrome
C2936331	Sarcoglycanopathies	disease	C16;C05;C08;C10;C14	Disease or Syndrome
C2936332	Alpha-Sarcoglycanopathies	disease	C16;C05;C08;C10;C14	Disease or Syndrome
C1858593	Limb-girdle muscular dystrophy, type 2E	disease	C16;C05;C08;C10;C14	Disease or Syndrome
C1832525	Limb-girdle muscular dystrophy type 2F	disease	C16;C05;C08;C10;C14	Disease or Syndrome
C1847667	CARDIOMYOPATHY, DILATED, 1L	disease	C14	Disease or Syndrome
C0410173	Severe autosomal recessive muscular dystrophy of childhood - North African type (disorder)	disease	C16;C05;C08;C10;C14	Disease or Syndrome
C0008029	Cherubism	disease	C16;C05;C07	Disease or Syndrome
C1838652	SPLIT-HAND/FOOT MALFORMATION 3	disease	C16;C05;C07	Disease or Syndrome
C0265581	Longitudinal deficiency of radius	disease	C16;C05	Congenital Abnormality
C0266667	Cyclocephaly	disease	C16;C05;C10	Congenital Abnormality
C0345354	Radial polydactyly	disease	C16;C05	Congenital Abnormality
C1840235	SOLITARY MEDIAN MAXILLARY CENTRAL INCISOR	disease	C16;C07	Congenital Abnormality
C1840529	HOLOPROSENCEPHALY 3	disease	C16;C05;C10	Disease or Syndrome
C1861355	Syndactyly, Type IV	disease	C16;C05	Disease or Syndrome
C1868114	POLYDACTYLY, PREAXIAL II (disorder)	disease	C16;C11;C05	Disease or Syndrome
C1968843	MICROPHTHALMIA, ISOLATED, WITH COLOBOMA 5 (disorder)	disease	C16;C11	Disease or Syndrome
C0265309	Leri-Weill dyschondrosteosis	disease	C23;C16;C05	Disease or Syndrome
C0432230	Langer Mesomelic Dysplasia Syndrome	disease	C23;C16;C05	Disease or Syndrome
C1845118	SHORT STATURE, IDIOPATHIC, X-LINKED	disease	C23;C16	Congenital Abnormality
C1855276	Dorsolateral bowed, short radii	phenotype		Finding
C1859399	Radial bowing	phenotype		Anatomical Abnormality
C1283620	Sucrase-isomaltase deficiency, congenital	disease	C16;C18	Disease or Syndrome
C0023308	Lens Diseases	group	C11	Disease or Syndrome
C0337677	Moderate drinker	phenotype		Finding
C1970200	MENTAL RETARDATION, AUTOSOMAL RECESSIVE 12	disease	C23;C10;F03;F01	Disease or Syndrome
C3554316	EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 15	disease		Disease or Syndrome
C2675187	MICROCEPHALY, PRIMARY AUTOSOMAL RECESSIVE, 7 (disorder)	disease	C16;C05;C10	Disease or Syndrome
C1842124	BRANCHIOOTIC SYNDROME 3 (disorder)	disease	C16	Disease or Syndrome
C1854594	DEAFNESS, AUTOSOMAL DOMINANT 23	disease	C23;C10;C09	Disease or Syndrome
C1834877	HOLOPROSENCEPHALY 2 (disorder)	disease	C16;C05;C10	Disease or Syndrome
C1864827	HOLOPROSENCEPHALY 5	disease	C16;C05;C10	Disease or Syndrome
C0265227	Schinzel-Giedion syndrome	disease	C23;C16;C05;C10;F03;F01	Disease or Syndrome
C1857276	Trichohepatoenteric Syndrome	disease	C23;C16;C13;C17	Disease or Syndrome
C3281289	TRICHOHEPATOENTERIC SYNDROME 2	disease		Disease or Syndrome
C3810089	MEMORY QUANTITATIVE TRAIT LOCUS	phenotype		Finding
C0152136	Low Tension Glaucoma	disease	C11	Disease or Syndrome
C0393729	Immersion Related Epilepsy	disease	C10	Disease or Syndrome
C1857253	Dicarboxylicaminoaciduria	disease	C23;C16;C13;C12;C10;F03;F01	Disease or Syndrome
C4551550	EPILEPSY, HOT WATER, 1	disease	C10	Disease or Syndrome
C4310717	EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 41	disease		Disease or Syndrome
C2675211	EPISODIC ATAXIA, TYPE 6 (disorder)	disease	C23;C10	Disease or Syndrome
C4225254	SPASTIC TETRAPLEGIA, THIN CORPUS CALLOSUM, AND PROGRESSIVE MICROCEPHALY	disease		Disease or Syndrome
C1832855	CHOREOATHETOSIS/SPASTICITY, EPISODIC	disease	C23;C05;C10	Disease or Syndrome
C1837206	Cryohydrocytosis, Stomatin-Deficient, with Mental Retardation, Seizures, Cataracts, and Massive Hepatosplenomegaly	disease	C23;C06;C18;C11;C10;F03;F01	Disease or Syndrome
C1842534	DYSTONIA 18 (disorder)	disease	C10	Disease or Syndrome
C1847501	Glut1 Deficiency Syndrome	disease	C16;C18	Disease or Syndrome
C1851936	Paroxysmal choreoathetosis	phenotype	C23;C10	Finding
C1869117	Paroxysmal nonkinesigenic dyskinesia	disease	C23;C10	Disease or Syndrome
C3149117	GLUT1 DEFICIENCY SYNDROME 1, AUTOSOMAL RECESSIVE	disease		Disease or Syndrome
C3553859	EPILEPSY, IDIOPATHIC GENERALIZED, SUSCEPTIBILITY TO, 12	disease		Finding
C4551966	GLUT1 DEFICIENCY SYNDROME 1	disease	C16;C18	Disease or Syndrome
C0010691	Cystinuria	disease	C16;C13;C12	Disease or Syndrome
C1857388	Cystinuria, Type A	disease	C16;C13;C12	Disease or Syndrome
C0268435	Renal Tubular Acidosis, Type II	disease	C16;C18;C13;C12	Disease or Syndrome
C1832168	BLOOD GROUP--FROESE	phenotype		Finding
C1861453	Pseudohyperkalemia Cardiff	disease	C18	Disease or Syndrome
C1862190	BLOOD GROUP--WRIGHT ANTIGEN	phenotype		Amino Acid, Peptide, or Protein; Immunologic Factor
C1862191	BLOOD GROUP--WALDNER TYPE	phenotype		Finding
C1862322	Ovalocytosis, Malaysian-Melanesian-Filipino Type	disease	C16;C15	Disease or Syndrome
C1862324	Elliptocytosis 4	disease	C16;C15	Disease or Syndrome
C1969038	RENAL TUBULAR ACIDOSIS, DISTAL, WITH HEMOLYTIC ANEMIA (disorder)	disease	C16;C18;C13;C12;C15	Disease or Syndrome
C1970028	MALARIA, SUSCEPTIBILITY TO (finding)	disease		Finding
C2675212	Spherocytosis, Type 4	disease	C16;C15	Disease or Syndrome
C0268186	Congenital glucose-galactose malabsorption	disease	C16;C06;C18	Disease or Syndrome; Congenital Abnormality
C0017980	Glycosuria, Renal	disease	C16;C18;C13;C12	Disease or Syndrome
C3245525	Familial renal glucosuria	disease	C16;C18;C13;C12	Disease or Syndrome
C1848805	Thyroid Dyshormonogenesis 1	disease	C16;C05;C19	Disease or Syndrome
C4085238	MYOCLONIC-ATONIC EPILEPSY	disease		Disease or Syndrome
C4727877	Epilepsy with myoclonic-atonic seizures	disease		Disease or Syndrome
C0027821	Neurocirculatory Asthenia	disease	F03	Disease or Syndrome
C1535893	Orthostatic intolerance	phenotype	C23;C10	Finding
C2930833	Irritable heart	phenotype	C23;C10	Disease or Syndrome
C2751067	Parkinsonism-Dystonia, Infantile	disease	C10	Disease or Syndrome
C4747621	PARKINSONISM-DYSTONIA, INFANTILE, 1	disease		Disease or Syndrome
C0003467	Anxiety	disease	F01	Mental or Behavioral Dysfunction
C0003944	As If Personality	disease	F03	Mental or Behavioral Dysfunction
C0004444	Avoidant Personality Disorder	phenotype	F03	Mental or Behavioral Dysfunction
C0021124	Impulse-Ridden Personality	disease	F03	Mental or Behavioral Dysfunction
C0021139	Inadequate Personality	disease	F03	Mental or Behavioral Dysfunction
C0031212	Personality Disorders	group	F03	Mental or Behavioral Dysfunction
